NUTS218CD,NUTS218NM,NUTS118CD,NUTS118NM,Country
UKC1,Tees Valley and Durham,UKC,North East,England
UKC2,Northumberland and Tyne and Wear,UKC,North East,England
UKD1,Cumbria,UKD,North West,England
UKD3,Greater Manchester,UKD,North West,England
UKD4,Lancashire,UKD,North West,England
UKD6,Cheshire,UKD,North West,England
UKD7,Merseyside,UKD,North West,England
UKE1,East Yorkshire and Northern Lincolnshire,UKE,Yorkshire and The Humber,England
UKE2,North Yorkshire,UKE,Yorkshire and The Humber,England
UKE3,South Yorkshire,UKE,Yorkshire and The Humber,England
UKE4,West Yorkshire,UKE,Yorkshire and The Humber,England
UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands,England
UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands,England
UKF3,Lincolnshire,UKF,East Midlands,England
UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands,England
UKG2,Shropshire and Staffordshire,UKG,West Midlands ,England
UKG3,West Midlands,UKG,West Midlands ,England
UKH1,East Anglia,UKH,East of England,England
UKH2,Bedfordshire and Hertfordshire,UKH,East of England,England
UKH3,Essex,UKH,East of England,England
UKI3,Inner London - West,UKI,London,England
UKI4,Inner London - East,UKI,London,England
UKI5,Outer London - East and North East,UKI,London,England
UKI6,Outer London - South,UKI,London,England
UKI7,Outer London - West and North West,UKI,London,England
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",UKJ,South East,England
UKJ2,"Surrey, East and West Sussex",UKJ,South East,England
UKJ3,Hampshire and Isle of Wight,UKJ,South East,England
UKJ4,Kent,UKJ,South East,England
UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West,England
UKK2,Dorset and Somerset,UKK,South West,England
UKK3,Cornwall and Isles of Scilly,UKK,South West,England
UKK4,Devon,UKK,South West ,England
UKL1,West Wales and The Valleys,UKL,Wales,Wales
UKL2,East Wales,UKL,Wales,Wales
UKM5,North Eastern Scotland,UKM,Scotland,Scotland
UKM6,Highlands and Islands,UKM,Scotland,Scotland
UKM7,Eastern Scotland,UKM,Scotland,Scotland
UKM8,West Central Scotland,UKM,Scotland,Scotland
UKM9,Southern Scotland,UKM,Scotland,Scotland
UKN0,Northern Ireland,UKN,Northern Ireland,Northern Ireland
